Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,299.500000,299.500000,296.500000,299.000000,286.269714,30121678
2019-11-04,302.500000,308.000000,301.000000,307.000000,293.929108,44899671
2019-11-05,307.500000,310.500000,307.000000,310.500000,297.280090,32201184
2019-11-06,309.000000,311.500000,308.000000,311.000000,297.758820,22149743
2019-11-07,310.000000,310.000000,306.500000,309.000000,295.843964,28291659
2019-11-08,308.500000,309.000000,305.500000,305.500000,292.492950,25651542
2019-11-11,305.000000,305.000000,300.000000,301.000000,288.184570,35165583
2019-11-12,302.500000,305.000000,302.000000,305.000000,292.014252,17540708
2019-11-13,303.000000,304.000000,301.500000,304.000000,291.056824,18172438
2019-11-14,304.500000,305.000000,302.000000,303.500000,290.578125,15734835
2019-11-15,305.500000,307.500000,304.500000,307.000000,293.929108,28848445
2019-11-18,308.500000,311.000000,307.000000,311.000000,297.758820,18691325
2019-11-19,312.500000,315.000000,311.000000,315.000000,301.588501,31634197
2019-11-20,314.000000,314.000000,312.000000,313.500000,300.152344,22387973
2019-11-21,309.500000,311.000000,307.000000,311.000000,297.758820,28108833
2019-11-22,310.000000,310.500000,308.000000,309.000000,295.843964,24737984
2019-11-25,310.500000,310.500000,307.000000,307.000000,293.929108,19530177
2019-11-26,310.000000,310.500000,307.000000,307.000000,293.929108,101224622
2019-11-27,307.500000,311.500000,307.500000,311.000000,297.758820,18467648
2019-11-28,310.000000,312.000000,308.500000,309.500000,296.322693,19077982
2019-11-29,309.000000,309.500000,305.000000,305.000000,292.014252,30963561
2019-12-02,307.000000,308.000000,306.500000,307.500000,294.407837,24016807
2019-12-03,305.000000,307.000000,305.000000,307.000000,293.929108,24690319
2019-12-04,305.000000,306.000000,304.000000,306.000000,292.971710,25492686
2019-12-05,309.000000,312.000000,309.000000,312.000000,298.716248,34521842
2019-12-06,315.000000,316.000000,311.000000,313.000000,299.673645,17695703
2019-12-09,314.000000,316.500000,314.000000,316.000000,302.545898,23256081
2019-12-10,315.000000,315.500000,312.500000,313.500000,300.152344,20570594
2019-12-11,314.000000,319.000000,313.000000,319.000000,305.418182,31223148
2019-12-12,325.000000,334.500000,324.000000,331.500000,317.386017,52742851
2019-12-13,340.000000,343.000000,338.000000,339.000000,324.566681,58198939
2019-12-16,336.500000,338.500000,336.000000,336.000000,321.694397,102188
2019-12-17,335.000000,345.000000,335.000000,345.000000,330.311249,40813458
2019-12-18,341.500000,345.000000,341.500000,344.500000,329.832489,39682841
2019-12-19,340.000000,342.000000,335.000000,335.000000,323.081543,54888012
2019-12-20,332.000000,333.000000,328.500000,329.000000,317.295044,86280459
2019-12-23,329.500000,334.000000,329.500000,334.000000,322.117126,26639340
2019-12-24,334.000000,334.500000,332.000000,332.000000,320.188263,13488907
2019-12-25,332.000000,334.500000,331.000000,333.000000,321.152710,12262954
2019-12-26,333.000000,334.000000,331.500000,333.000000,321.152710,11427884
2019-12-27,335.000000,338.000000,335.000000,338.000000,325.974792,16677806
2019-12-30,338.000000,339.000000,334.000000,334.500000,322.599335,21531263
2019-12-31,331.000000,333.500000,331.000000,331.000000,319.223846,22890517
2020-01-02,332.500000,339.000000,332.500000,339.000000,326.939240,31754120
2020-01-03,344.000000,345.000000,335.500000,339.500000,327.421478,41811268
2020-01-06,333.000000,334.500000,332.000000,332.000000,320.188263,45343057
2020-01-07,332.500000,333.000000,326.500000,329.500000,317.777222,50879181
2020-01-08,325.000000,333.000000,325.000000,329.500000,317.777222,37567748
2020-01-09,335.000000,337.500000,333.500000,337.500000,325.492584,31481504
2020-01-10,340.500000,341.000000,336.000000,339.500000,327.421478,27032115
